OBJECTID,Eradication ID,Common Name,Scientific Name,Type (Animal),Year of Introduction,Data Quality,Eradication Start Date,Eradication End Date,Status (Eradication),Type (Eradication),Primary Eradication Method,Secondary Eradication Method,Tertiary Eradication Method,Primary Baiting Method,Secondary Baiting Method,Primary Toxicant,Secondary Toxicant,Contact Name,Contact Organization,Organization_Website,Island Code,Island Name,Region,Country,Archipelago,Latitude,Longitude,Area (sq km),Human Population
943,1210,Black Rat,Rattus rattus,Rodent,null,Good,1995,1995,Successful,Whole Island,Toxicant,NA,NA,Bait Station,Hand Broadcast,Brodifacoum,NA,Daltry; Jenny,Flora and Fauna International,null,386054,Galley Minor,Caribbean,Antigua and Barbuda,Lesser Antilles (Antigua and Barbuda Islands),17.14299771,-61.72757599,0.00202988,None
944,1211,Black Rat,Rattus rattus,Rodent,null,Good,1995,1995,Successful,Whole Island,Toxicant,NA,NA,Bait Station,Hand Broadcast,Brodifacoum,NA,Daltry; Jenny,Flora and Fauna International,null,386053,Galley Major,Caribbean,Antigua and Barbuda,Lesser Antilles (Antigua and Barbuda Islands),17.14334837,-61.72631782,0.005974373,None
960,1229,Black Rat,Rattus rattus,Rodent,null,Good,2009,2011,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,Bait Station,Brodifacoum,NA,Griffiths; Richard,Island Conservation,null,26751,Motutapu,Pacific Ocean - South West,New Zealand,Hauraki Gulf,-36.76471453,174.915858,16.00336724,10-Jan
969,1237,Black Rat,Rattus rattus,Rodent,null,Good,2009,2011,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,Bait Station,Brodifacoum,NA,Griffiths; Richard,Island Conservation,null,26735,Rangitoto,Pacific Ocean - South West,New Zealand,Hauraki Gulf,-36.78649262,174.863184,23.83952754,11 - 100
986,1254,Black Rat,Rattus rattus,Rodent,1600,Satisfactory,null,2007,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,1080,null,null,null,356540,Mosquera,Pacific Ocean - North East,Ecuador,Galapagos Islands,-0.404960503,-90.27772006,0.060148643,None
1041,1314,Black Rat,Rattus rattus,Rodent,null,Good,2007,2007,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,Hand Broadcast,Brodifacoum,NA,Samaniego; Araceli,Grupo de Ecologia y Conservacion de Islas,www.islas.org.mx,463745,Farallón de San Ignacio,Pacific Ocean - North East,Mexico,Gulf of California,25.43666799,-109.3775956,0.184239135,None
1042,1315,Black Rat,Rattus rattus,Rodent,null,Good,2009,2009,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,NA,Brodifacoum,NA,Samaniego; Araceli,Grupo de Ecologia y Conservacion de Islas,www.islas.org.mx,394782,Isabel,Pacific Ocean - North East,Mexico,null,21.8477553,-105.8849697,0.774556897,11 - 100
1043,1316,Black Rat,Rattus rattus,Rodent,null,Good,2007,2007,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,Hand Broadcast,Brodifacoum,NA,Samaniego; Araceli,Grupo de Ecologia y Conservacion de Islas,www.islas.org.mx,30455,San Pedro Mártir,Pacific Ocean - North East,Mexico,Gulf of California (Midriff Islands),28.38145886,-112.3066361,2.739483138,None
1048,1321,Black Rat,Rattus rattus,Rodent,null,Good,2011,2011,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,Hand Broadcast,Brodifacoum,NA,Island Conservation,Island Conservation,www.islandconservation.org,354623,Palmyra,Pacific Ocean - North East,United States Minor Outlying Islands,Line Islands,5.883944632,-162.0777883,2.566938776,11 - 100
1050,1675,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2001,2002,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,Gerber; Glen,San Diego Zoo Institute for Conservatino Research,http://www.sandiegozoo.org/conservation/,420365,Bay Cay,Caribbean,Turks and Caicos Islands,Bahamas (Turks and Caicos),21.91559291,-71.89012768,0.307169156,None
1054,1681,Black Rat,Rattus rattus,Rodent,null,Good,1996,1996,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,Burbidge; A.A.,Department of Conservation and Land Management; Aus,null,331014,Trimouille,Indian Ocean - East,Australia,Western Australia (Montebello Islands),-20.39645599,115.5666887,4.79261792,None
1056,1684,Black Rat,Rattus rattus,Rodent,null,Good,2009,2009,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,NA,Brodifacoum,NA,Broome; Keith,NZ Dept. of Conservation,null,459034,Urupukapuka,Pacific Ocean - South West,New Zealand,Bay of Islands,-35.21482764,174.2318392,2.494700517,Unknown
1057,1685,Black Rat,Rattus rattus,Rodent,null,Good,2010,2011,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,NA,Diphacinone,NA,null,null,null,102117,Mukojima,Pacific Ocean - North West,Japan,Ogasawara Islands (Mukojima Group),27.68095793,142.1389193,2.557402484,None
1060,1688,Black Rat,Rattus rattus,Rodent,null,Good,2012,2012,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,Daltry; Jenny,Flora and Fauna International,null,410593,Dog,Caribbean,Anguilla,Lesser Antilles (Anguilla Islands),18.27870161,-63.25116181,1.95307166,None
1061,1689,Black Rat,Rattus rattus,Rodent,null,Good,2007,2007,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,NA,Brodifacoum,NA,Rocamora; Gérard,Island Conservation Society,http://www.islandconservationseychelles.com/,19650,Grande Ile (Wizard),Indian Ocean - West,Seychelles,Cosmoledo Atoll,-9.748939294,47.64727578,1.563342954,None
1062,1690,Black Rat,Rattus rattus,Rodent,null,Good,2005,2005,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,NA,Brodifacoum,NA,Rocamora; Gérard,Island Conservation Society,http://www.islandconservationseychelles.com/,19651,North,Indian Ocean - West,Seychelles,Seychelles,-4.39222232,55.24490282,1.950852103,101 - 1000
1063,1691,Black Rat,Rattus rattus,Rodent,null,Satisfactory,null,2005,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,NA,Brodifacoum,NA,Broome; Keith,NZ Dept. of Conservation,null,24042,Bench,Pacific Ocean - South West,New Zealand,Stewart Islands,-46.90934994,168.2398052,1.749140597,None
1065,1693,Black Rat,Rattus rattus,Rodent,null,Good,2009,2009,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,NA,Brodifacoum,NA,Broome; Keith,NZ Dept. of Conservation,null,459035,Moturua,Pacific Ocean - South West,New Zealand,Bay of Islands,-35.2236004,174.1909514,1.685443111,None
1066,1694,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2009,2009,Successful,Whole Island,Toxicant,NA,NA,Bait Station,Hand Broadcast,Diphacinone,NA,Witmer; Gary,USDA-NWRC,null,4902,Egmont Cay,Caribbean,United States,Tampa Bay Islands,27.59086105,-82.76127187,1.185554904,None
1067,1695,Black Rat,Rattus rattus,Rodent,null,Satisfactory,null,1986,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Pindone,NA,Burbidge; A.A.,Department of Conservation and Land Management; Aus,null,464022,West Lacepede,Indian Ocean - East,Australia,Western Australia (Kimberly coast),-16.85472573,122.110913,0.909650627,None
1069,1697,Black Rat,Rattus rattus,Rodent,null,Satisfactory,null,2005,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,NA,Brodifacoum,NA,Broome; Keith,NZ Dept. of Conservation,null,26897,Pickersgill,Pacific Ocean - South West,New Zealand,Queen Charlotte Sound,-41.16052755,174.2821797,1.014761757,None
1070,1698,Black Rat,Rattus rattus,Rodent,null,Good,2002,2002,Successful,Whole Island,Toxicant,NA,NA,Bait Station,Hand Broadcast,Brodifacoum,Brodifacoum,Broome; Keith,NZ Dept. of Conservation,null,26909,Quail,Pacific Ocean - South West,New Zealand,Canterbury Islands,-43.6284509,172.6909702,0.825845439,None
1071,1699,Black Rat,Rattus rattus,Rodent,null,Satisfactory,null,1980,Successful,Whole Island,Toxicant,NA,NA,Unknown,NA,Unknown,NA,Burbidge; A.A.,Department of Conservation and Land Management; Aus,null,330931,West Islet,Indian Ocean - East,Australia,Ashmore Reef,-12.24242905,122.9665913,0.293587182,None
1072,1700,Black Rat,Rattus rattus,Rodent,null,Good,1999,2000,Successful,Whole Island,Toxicant,NA,NA,Bait Station,Hand Broadcast,Diphacinone,NA,Witmer; Gary,USDA-NWRC,null,390597,Buck,Caribbean,Virgin Islands U.S.,Lesser Antilles (US Virgin Islands (St. Croix Islands)),17.78714983,-64.62090151,0.693343999,None
1076,1706,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2004,2004,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,NA,Brodifacoum,NA,Broome; Keith,NZ Dept. of Conservation,null,24211,Horomamae (Owen),Pacific Ocean - South West,New Zealand,Stewart Islands,-47.12482404,168.1550738,0.328836308,None
1077,1707,Black Rat,Rattus rattus,Rodent,null,Good,2007,2007,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,NA,Brodifacoum,NA,Rocamora; Gérard,Island Conservation Society,http://www.islandconservationseychelles.com/,88888026,Grande Polyte,Indian Ocean - West,Seychelles,Cosmoledo Atoll,-9.719122176,47.65649257,0.326097344,None
1079,1711,Black Rat,Rattus rattus,Rodent,null,Poor,null,2000,Successful,Whole Island,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Burbidge; A.A.,Department of Conservation and Land Management; Aus,null,333101,Stephens,Pacific Ocean - South West,Australia,Queensland Islands,-17.73806421,146.1600742,0.176027852,None
1080,1712,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2009,2009,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,NA,Brodifacoum,NA,Broome; Keith,NZ Dept. of Conservation,null,461560,Okahu,Pacific Ocean - South West,New Zealand,Bay of Islands,-35.19850051,174.2091029,0.331800385,None
1081,1713,Black Rat,Rattus rattus,Rodent,1918,Good,1983,1983,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Pindone,NA,Burbidge; A.A.,Department of Conservation and Land Management; Aus,null,331989,Double Islands South,Indian Ocean - East,Australia,Western Australia (Barrow Islands),-20.74609618,115.4921234,0.255866335,None
1082,1714,Black Rat,Rattus rattus,Rodent,null,Good,2008,2008,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,NA,Diphacinone,NA,null,null,null,109098,Higashijima,Pacific Ocean - North West,Japan,Ogasawara Islands (Chichijima Group),27.0933394,142.2450993,0.245804092,None
1084,1718,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2011,2011,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,NA,Brodifacoum,NA,Keitt; Brad,Island Conservation,www.islandconservation.org,362233,Bainbridge - 3,Pacific Ocean - North East,Ecuador,Galapagos Islands,-0.351330041,-90.56610087,0.204708477,None
1089,1726,Black Rat,Rattus rattus,Rodent,null,Good,2004,2004,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Diphacinone,NA,Pierce; Judy,USVI Ministry of Environment,null,420512,Dutchcap Cay,Caribbean,Virgin Islands U.S.,Lesser Antilles (US Virgin Islands),18.38000948,-65.06176091,0.142779574,None
1090,1727,Black Rat,Rattus rattus,Rodent,null,Good,2003,2003,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Diphacinone,NA,Pierce; Judy,USVI Ministry of Environment,null,420520,Saba,Caribbean,Virgin Islands U.S.,Lesser Antilles (US Virgin Islands (St. Thomas Islands)),18.30523023,-65.00004629,0.12551122,None
1091,1728,Black Rat,Rattus rattus,Rodent,null,Good,2005,2005,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Diphacinone,NA,Pierce; Judy,USVI Ministry of Environment,null,420481,Capella,Caribbean,Virgin Islands U.S.,Lesser Antilles (US Virgin Islands (St. Thomas Islands)),18.27544365,-64.88755818,0.087873253,None
1095,1732,Black Rat,Rattus rattus,Rodent,null,Good,1996,1996,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,Burbidge; A.A.,Department of Conservation and Land Management; Aus,null,88888046,Gardenia,Indian Ocean - East,Australia,Western Australia (Montebello Islands),-20.38314252,115.5285357,0.125136448,None
1096,1733,Black Rat,Rattus rattus,Rodent,null,Good,2007,2007,Successful,Whole Island,Toxicant,NA,NA,Hand Broadcast,Other,Brodifacoum,NA,null,null,null,346587,Pein Mal,Pacific Ocean - North West,Micronesia Federated States of,Pohnpei,6.829262573,158.322124,0.05611192,None
1098,1735,Black Rat,Rattus rattus,Rodent,null,Satisfactory,null,1983,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Diphacinone,NA,Pierce; Judy,USVI Ministry of Environment,null,420536,Dog,Caribbean,Virgin Islands U.S.,Lesser Antilles (US Virgin Islands (St. Thomas Islands)),18.29576351,-64.81624357,0.055095518,None
1099,1736,Black Rat,Rattus rattus,Rodent,null,Good,2011,2011,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,NA,Brodifacoum,NA,Island Conservation,Island Conservation,www.islandconservation.org,362235,Bainbridge - 1,Pacific Ocean - North East,Ecuador,Galapagos Islands,-0.343556724,-90.55892297,0.089372782,None
1100,1740,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2009,2009,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,NA,Brodifacoum,NA,Broome; Keith,NZ Dept. of Conservation,null,88888074,Te Ao,Pacific Ocean - South West,New Zealand,Bay of Islands (Urupukapuka),-35.22760283,174.2414585,0.013085667,None
1102,1742,Black Rat,Rattus rattus,Rodent,null,Good,2000,2000,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,null,null,null,415830,Low Cay,Caribbean,Bahamas,Bahamas (San Salvador Bank),23.93850609,-74.4813696,0.114480426,None
1103,1743,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2009,2009,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,NA,Brodifacoum,NA,Broome; Keith,NZ Dept. of Conservation,null,88888075,Mahenotiti,Pacific Ocean - South West,New Zealand,Bay of Islands (Urupukapuka),-35.22754213,174.2479817,0.008941625,None
1104,1744,Black Rat,Rattus rattus,Rodent,null,Poor,null,1991,Successful,Whole Island,Toxicant,Trapping,NA,Bait Station,NA,Coumatetralyl,NA,null,null,null,236401,3 islets,Mediterranean,France,Corsican Islands (Cerbicale Islands),41.55548763,9.366370879,0.023980637,None
1105,1746,Black Rat,Rattus rattus,Rodent,null,Good,1991,1991,Successful,Whole Island,Toxicant,NA,NA,Bait Piles,NA,Bromadiolone,NA,Tolson; Peter,Todelo Zoo,null,420098,Cayo Ratones,Caribbean,Puerto Rico,Greater Antilles (Puerto Rican Islands),18.38208075,-65.58008896,0.046689607,None
1107,1747,Black Rat,Rattus rattus,Rodent,null,Good,2005,2006,Successful,Whole Island,Toxicant,Trapping,NA,Bait Station,NA,Brodifacoum,NA,Rocamora; Gérard,Island Conservation Society,http://www.islandconservationseychelles.com/,464134,Anonyme,Indian Ocean - West,Seychelles,Seychelles,-4.6636749,55.52452998,0.105913368,Unknown
1109,1749,Black Rat,Rattus rattus,Rodent,null,Good,1996,1996,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,Burbidge; A.A.,Department of Conservation and Land Management; Aus,null,88888047,Carnation,Indian Ocean - East,Australia,Western Australia (Montebello Islands),-20.37896478,115.5218691,0.089896083,None
1110,1750,Black Rat,Rattus rattus,Rodent,null,Poor,null,2000,Successful,Whole Island,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Burbidge; A.A.,Department of Conservation and Land Management; Aus,null,333284,Sister,Pacific Ocean - South West,Australia,Queensland Islands,-17.74540556,146.1611724,0.084395545,None
1112,1755,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2011,2011,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,NA,Brodifacoum,NA,Island Conservation,Island Conservation,www.islandconservation.org,362219,Roca Beagle Sur,Pacific Ocean - North East,Ecuador,Galapagos Islands,-0.418442415,-90.62935922,0.076102735,None
1116,1766,Black Rat,Rattus rattus,Rodent,null,Good,2008,2008,Successful,Whole Island,Toxicant,NA,NA,Hand Broadcast,Bait Station,Brodifacoum,NA,Pascal; Michel,Equipe Gestion des Populations Invasives; INRA; Station SCRIBE; Campus de Beaulieu,null,334562,Table,Pacific Ocean - South West,New Caledonia,New Caledonia Islands,-20.55786934,164.1847381,0.144139786,None
1117,1767,Black Rat,Rattus rattus,Rodent,null,Good,2007,2007,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,null,null,null,346525,Nahkapw,Pacific Ocean - North West,Micronesia Federated States of,Pohnpei,6.843881955,158.3442351,0.016428683,None
1118,1768,Black Rat,Rattus rattus,Rodent,null,Satisfactory,null,1982,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Diphacinone,NA,Pierce; Judy,USVI Ministry of Environment,null,420570,Kalkun Cay,Caribbean,Virgin Islands U.S.,Lesser Antilles (US Virgin Islands (St. Thomas Islands)),18.35032527,-65.0576566,0.029685054,None
1120,1776,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2003,2003,Successful,Whole Island,Toxicant,NA,NA,Hand Broadcast,NA,Bromadiolone,NA,Dervaux; Antoine,Department of Conservation of Natural Heritage  French Southern and Antarctic Lands,null,15371,Ile du Lys,Indian Ocean - West,French Southern Territories,Glorioso,-11.51683495,47.3768806,0.206953955,None
1123,1787,Black Rat,Rattus rattus,Rodent,null,Poor,null,1974,Successful,Whole Island,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,null,null,null,463167,Fisher,Pacific Ocean - South West,Australia,Tasmanian Islands (Furneaux Group (Great Dog Islands)),-40.2170686,148.2392417,0.008735597,None
1124,1788,Black Rat,Rattus rattus,Rodent,null,Good,2001,2001,Successful,Whole Island,Toxicant,NA,NA,Hand Broadcast,NA,Brodifacoum,NA,null,null,null,456097,Helen,Pacific Ocean - North West,Palau,Southwest Islands,2.972818389,131.8121684,0.160499884,10-Jan
1125,1789,Black Rat,Rattus rattus,Rodent,null,Poor,null,1991,Successful,Whole Island,Toxicant,Trapping,NA,Bait Station,NA,Coumatetralyl,NA,null,null,null,236533,Toro Piccolo,Mediterranean,France,Corsican Islands (Cerbicale Islands),41.50918354,9.3815918,0.020431062,None
1132,1804,Black Rat,Rattus rattus,Rodent,null,Satisfactory,1985,1991,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Bromadiolone,Brodifacoum,null,null,null,333981,SW Coringa Islet,Pacific Ocean - South West,Australia,Coringa-Herald Cays (Coringa Islets),-16.9683032,149.9086007,0.19656274,None
1133,1808,Black Rat,Rattus rattus,Rodent,null,Good,2009,2010,Successful,Whole Island,Toxicant,NA,NA,Hand Broadcast,NA,Brodifacoum,NA,null,null,null,19419,Gombe Ndroumbe,Indian Ocean - West,Mayotte,Mayotte Islands,-12.74969561,45.26998557,0.012870086,None
1134,1812,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2009,2009,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,NA,Brodifacoum,NA,Broome; Keith,NZ Dept. of Conservation,null,26832,Hat,Pacific Ocean - South West,New Zealand,Bay of Islands (Urupukapuka),-35.21722652,174.2524414,0.000341013,None
1136,1814,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2009,2009,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,NA,Brodifacoum,NA,Broome; Keith,NZ Dept. of Conservation,null,88888068,Kuiamokimoki,Pacific Ocean - South West,New Zealand,Bay of Islands (Moturoa),-35.23039829,174.19849,0.00405784,None
1137,1815,Black Rat,Rattus rattus,Rodent,null,Poor,null,2005,Successful,Whole Island,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Broome; Keith,NZ Dept. of Conservation,null,110000216,Motukaraka,Pacific Ocean - South West,New Zealand,Hokianga Harbour,-35.39046811,173.4828504,0.155363326,None
1138,1816,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2009,2009,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,NA,Brodifacoum,NA,Broome; Keith,NZ Dept. of Conservation,null,88888069,Motuoi,Pacific Ocean - South West,New Zealand,Bay of Islands (Moturoa),-35.21909192,174.1819477,0.024250596,None
1139,1821,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2009,2009,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,NA,Brodifacoum,NA,Broome; Keith,NZ Dept. of Conservation,null,88888072,Pakatahi,Pacific Ocean - South West,New Zealand,Bay of Islands (Moturoa),-35.23115647,174.2000723,0.004585925,None
1140,1822,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2009,2009,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,NA,Brodifacoum,NA,Broome; Keith,NZ Dept. of Conservation,null,88888073,Rangiatea,Pacific Ocean - South West,New Zealand,Bay of Islands (Moturoa),-35.21804184,174.1797091,0.016556454,None
1141,1823,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2009,2009,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,NA,Brodifacoum,NA,Broome; Keith,NZ Dept. of Conservation,null,88888066,Round,Pacific Ocean - South West,New Zealand,Bay of Islands (Urupukapuka),-35.22818295,174.2366307,0.015534053,None
1278,2023,Black Rat,Rattus rattus,Rodent,null,Poor,null,null,Successful,Whole Island,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,null,null,null,110000301,Logie (Lougie),Pacific Ocean - North East,Ecuador,Galapagos Islands,-0.254561722,-90.57770813,0.002944456,None
1311,2124,Black Rat,Rattus rattus,Rodent,null,Good,2012,2012,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,NA,Brodifacoum,NA,Sposimo; Paolo,null,null,239664,Montecristo,Mediterranean,Italy,Tuscan Islands,42.33229226,10.30908051,10.49815725,10-Jan
1319,2134,Black Rat,Rattus rattus,Rodent,null,Good,2000,2000,Successful,Whole Island,Trapping,Toxicant,NA,Bait Station,NA,Bromadiolone,NA,Lorvelec; O.,Equipe Gestion des Populations Invasives; INRA; Station SCRIBE; Campus de Beaulieu,null,88888124,Lavezzu Islets - 18 total,Mediterranean,France,Lavezzi Archipelago,41.33789,9.24453,0.007814168,None
1326,2142,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2011,2011,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,NA,Brodifacoum,NA,Island Conservation,Island Conservation,www.islandconservation.org,362220,Roca Beagle Norte,Pacific Ocean - North East,Ecuador,Galapagos Islands,-0.414218724,-90.62782087,0.011115423,None
1329,2146,Black Rat,Rattus rattus,Rodent,500,Good,2009,2009,Successful,Whole Island,Trapping,Toxicant,NA,Bait Station,NA,Brodifacoum,NA,null,null,null,240597,Zembrettina,Mediterranean,Tunisia,Zembra Archipelago,37.10631307,10.8706948,0.004872295,None
1332,2151,Black Rat,Rattus rattus,Rodent,null,Good,2001,2007,Successful,Whole Island,Trapping,Toxicant,NA,Bait Station,NA,Bromadiolone,NA,Lorvelec; O.,Equipe Gestion des Populations Invasives; INRA; Station SCRIBE; Campus de Beaulieu,null,395228,Hardy,Caribbean,Martinique,Lesser Antilles (îlets de Sainte-Anne),14.41730907,-60.83158832,0.024980252,None
1334,2153,Black Rat,Rattus rattus,Rodent,null,Good,2011,2011,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,Hand Broadcast,Brodifacoum,NA,null,null,null,235938,Dragonera,Mediterranean,Spain,Balearic Islands (Mallorca Group),39.5843818,2.319859,2.732221434,None
1337,2156,Black Rat,Rattus rattus,Rodent,null,Good,2005,2005,Successful,Whole Island,Toxicant,NA,NA,Bait Station,Hand Broadcast,Diphacinone,NA,Lombard; Claudia,USFWS,null,420479,Buck,Caribbean,Virgin Islands U.S.,Lesser Antilles (US Virgin Islands (St. Thomas Islands)),18.27707682,-64.89402929,0.17066962,None
1340,2170,Black Rat,Rattus rattus,Rodent,null,Satisfactory,null,1984,Successful,Whole Island,Toxicant,NA,NA,Hand Broadcast,NA,Diphacinone,NA,Pierce; Judy,USVI Ministry of Environment,null,420569,Stevens Cay,Caribbean,Virgin Islands U.S.,Lesser Antilles (US Virgin Islands),18.33021888,-64.80732836,0.016781484,None
1342,2177,Black Rat,Rattus rattus,Rodent,null,Good,2005,2005,Successful,Whole Island,Toxicant,NA,NA,Bait Station,Hand Broadcast,Brodifacoum,NA,null,null,null,389578,Rat,Caribbean,Saint Lucia,Lesser Antilles (St. Lucia Islands),14.03369203,-60.98153058,0.012506879,None
1344,2179,Black Rat,Rattus rattus,Rodent,null,Good,2007,2007,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,NA,Brodifacoum,NA,Rocamora; Gérard,Island Conservation Society,http://www.islandconservationseychelles.com/,110000700,Petit Polyte,Indian Ocean - West,Seychelles,Cosmoledo Atoll,-9.729486289,47.65696241,0.017666835,None
1345,2181,Black Rat,Rattus rattus,Rodent,null,Good,2009,2009,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,null,null,null,240595,Zembretta,Mediterranean,Tunisia,Zembra Archipelago,37.10638927,10.87463778,0.066019738,None
1347,2184,Black Rat,Rattus rattus,Rodent,null,Good,2010,2010,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,NA,Brodifacoum,NA,Rocamora; Gérard,Island Conservation Society,http://www.islandconservationseychelles.com/,19660,Grande Soeur,Indian Ocean - West,Seychelles,Seychelles,-4.288905026,55.86934716,0.730482923,Unknown
1348,2185,Black Rat,Rattus rattus,Rodent,null,Good,2010,2010,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,NA,Brodifacoum,NA,Rocamora; Gérard,Island Conservation Society,http://www.islandconservationseychelles.com/,19676,Petite Soeur,Indian Ocean - West,Seychelles,Seychelles,-4.287741713,55.85548118,0.34309808,None
1349,2186,Black Rat,Rattus rattus,Rodent,null,Good,2011,2011,Successful,Whole Island,Toxicant,NA,NA,Hand Broadcast,NA,Brodifacoum,NA,Samaniego; Araceli,Grupo de Ecologia y Conservacion de Islas,www.islas.org.mx,398417,Pérez,Caribbean,Mexico,Gulf of Mexico (Arrecife Alacranes),22.38379107,-89.68356538,0.208123339,10-Jan
1350,2187,Black Rat,Rattus rattus,Rodent,null,Good,2011,2011,Successful,Whole Island,Toxicant,NA,NA,Hand Broadcast,Other,Brodifacoum,NA,Island Conservation,Island Conservation,www.islandconservation.org,359163,Toreauta (Tahanea Atoll),Pacific Ocean - South East,French Polynesia,Tuamotu Archipelago,-16.97742876,-144.7017545,0.072031264,None
1351,2188,Black Rat,Rattus rattus,Rodent,null,Good,2012,2012,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,Bait Station,Brodifacoum,NA,Samaniego; Araceli,Grupo de Ecologia y Conservacion de Islas,www.islas.org.mx,398579,Cayo Norte Mayor,Caribbean,Mexico,Banco Chinchorro,18.74836401,-87.30138215,0.246653752,10-Jan
1352,2189,Black Rat,Rattus rattus,Rodent,null,Good,2012,2012,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,Bait Station,Brodifacoum,NA,Samaniego; Araceli,Grupo de Ecologia y Conservacion de Islas,www.islas.org.mx,110000104,Cayo Norte Menor,Caribbean,Mexico,Banco Chinchorro,18.73956472,-87.3050048,0.134619509,None
1354,2191,Black Rat,Rattus rattus,Rodent,null,Good,null,2012,Successful,Whole Island,Trapping,Toxicant,NA,Bait Station,NA,Difenacoum,Bromadiolone,null,null,null,246048,Tiboulen de Maire,Mediterranean,France,Marseille Islands (Riou Archipelago),43.21405977,5.32678818,0.02402522,None
